caseNum,incidentNotes,year,yearMonth,yearMonthDay,dateNotes,state,place,county,latDecimal,lonDecimal,latDegrees,latMinutes,latSeconds,lonDegrees,lonMinutes,lonSeconds,locationNotes,crowdType,crowdSize,open,authorities,lethality,C-W_Index,G-D_Index,Notes_C-W_G-D
34,,1851,1851/04,1851/04/05,,California,"Brown's Bar, Weber Creek, Pinchemtight",El Dorado,38.71944444,-120.6769444,,,,,,,"Using location of Sailor Jack's mine, referred to as another name for Pinch em tight 
https://www.mindat.org/maps.php?id=78165.  Can't locate Brown's Bar on Weber Creek.",People's Court,,Open,,Lethal,,G-D-16 has date as 4/12,4
35,,1851,1851/04,1851/04/15,,California,Monterey,Monterey,36.6012792,-121.88294420,,,,,,,,"Tried by ""Code Lynch""",,Open,Civil authorities rescued prisoners,Not Lethal,,,4
36,,1851,1851/04,1851/04/29,,California,Coloma,El Dorado,38.7999014,-120.8899382,,,,,,,,jury of 12 cirtizens,,Open,"Sheriff, deputy, and a number of citizens took the prisoner from mob",Not Lethal,,,4
37,,1851,1851/04,1851/04/08,,California,Nevada City,Nevada,39.2607347,-121.023063,,,,,,,,People's Court,several hundred,Open,Suspects seized from the court.,Not Lethal,,,4
38,,1851,1851/04,1851/04/00,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,Individual Retribution,,Open,,Not Lethal,,,"New info from NY DT, Check"
39,George M. Holliday escaped,1851,1851/04,1851/04/27,,California,"forks of Antelope creek, a few miles below Ide's Ranch",Trinity,40.4428,-123.1521,,,,,,,"near mouth of Weaver Creek (MH says lynching occurred ""in the forks of Antelope creek, a few miles below Ide's Ranch)

(MH says the mules were stolen from Trinity Diggings, Near the mouth of Weaver Creek, but the lynching occurred elseware)",5 (originally 11) pursuers tracked thieves),,open,,Lethal,,,4
40,Lynching or retributive massacre?,1851,1851/05,1851/05/03,,California,"Leonard's Ranch, on the Sacramento River",Tehama,40.0118,-122.0737,,,,,,,"The site of Leonard's Ranch was integral with the developing town of Tehama, about which is written, ""The Spring of 1850 found the town of Tehama without a rival in this section of the State. It boasted a hotel of no inferior order. I believe a man by the name of Leonard was the first hotel-keeper in the then embryo city, which was kept in the old adobe erected by [Robert H.] Thomes in 1846."" An article in the Apr 18, 1851 issue of the Sacramento Union mentioned that, “Mr. C. [Curtis] camped at Leonard's Ranch...After about one year of an apparent contiguous existence, the town of ""Tehama"" enveloped the adobe way station known as ""Leonard's Ranch,"" and further references to Leonard's Ranch ceased altogether during the Spring of 1851.",Individual Retribution,Party of 25 whites,Open,,Lethal,,,2
41,,1851,1851/05,1851/05/06,,California,Bonsell and Scott's Ferry on the San Joaquin River,Tuolumne,37.7513888889,-121.3083333,37,45,5,121,18,30,"See Durham, p. 806; using coordinates for Mossdale",jury of 20 citizens,50,Open,,Lethal,,,
42,,1851,1851/05,1851/05/16,,California,Napa,Napa,38.2982254,-122.3011527,,,,,,,coordinates for City of Napa,Execution by a mob in hs cell,"""a few of the citizens of Napa""",secret,Hung in cell after Governor commuted sentence,Lethal,,G-D-17,4
44,,1851,1851/05,1851/05/20,,California,Nevada City,Nevada,39.2607347,-121.023063,,,,,,,,Jury of the people,,Open,,Not Lethal,,,4
45,Notes say Downieville,1851,1851/05,1851/05/00,,California,Downieville,Sierra,39.5602894,-120.8280559,,,,,,,Using coordinates for Main Street and Hwy 49,jury of the miners,,Open,,Not Lethal,,,3
46,,1851,1851/05,1851/05/29,,California,Park's Bar,Yuba,39.2210038,-121.3313492,39,13,15,121,19,55,Where Yuba river enters the Valley; in late 60s Park's Bar buried under mining debris,jury of twelve men,10-100,Open,"""regular trial""; jury of 12 men",Not Lethal,,,
48,,1851,1851/05,1851/05/00,,California,Monroe's Rancho,Colusa,39.677778,-121.9775,,,,,,,"Using coordinates for Monroeville, (now glenn county) later name for Monroe's Ranch. At time in Colusa County; after 1893 in Glenn County. Note massacre took place 20 miles from ranch; need estimated coordinates",Party of 16,Band of 16 exterminated Indians,Open,,Lethal,,,3
49,Check location (Sacramento?),1851,1851/05,1851/05/00,,California,St. Louis House,Sacramento,38.5582205,-121.416737,38,33,,121,25,,"Coordinates estimated north of Brighton on American River, site of St. Louis House. Estimated from coordinates for Brighton GNIS. See, also, Durham coordinates for Brighton  p 454",A large corwd tied him to a tree,,Open,,Not Lethal,,,
51,,1851,1851/05,1851/05/14,,California,Stockton,San Joaquin,37.9590275,-121.2607426,,,,,,,"""taken out to the plains."" Coordinates placed east of downtown Stockton (a guess)",The crowd,,Open,,Not Lethal,,,
53,,1851,1851/06,1851/06/10,,California,San Francisco,San Francisco,37.7949288,-122.4055265,,,,,,,Using coordinates for Portsmouth Square,"Vigilance Committee, also knonw as the Regulating Committee, approximately 80 men, who secretly tried Jenkins; Regulating Committee a  secret society organized a day or two previous",probably 1000 persons,Open,"Officers opposed proceedings;  stopped by the crowd, although many in the crowd opposed the hanging. Stepped back after lynchers pulled out pistols",Lethal,,G-D-21 has date as 6/11,
54,"Check date of event; different locations; is this one or a series of connected events?

HHB has it as Shaw flat; suspects HHB Chilenos; perhaps confusing shooting of Chilenos metnioned in same report AC and MH",1851,1851/06,1851/06/15,,California,Shaw's Flat,Tuolumne,38.00694444,-120.4083333,38,0,25,120,24,30,"Shaw's Flat coordinates from http://roadsidethoughts.com/ca/shaws-flat-xx-tuolumne-map.htm. Durham coords p 826. ""about two miles out of town (Sonora).","""a regular trial""; jury of 12 men","3,000 men; ""An immense concourse of the people""",Open,Taken from the officers in Sonora and hanged at Shaw's flat,Lethal,C-W 9,,4 check SF Herald 6-28-51 and 7-1-51; cite from C-W
55,,1851,1851/06,1851/06/16,,California,Melones,Calaveras,38.0124236,-120.4985314,,,,,,,aka Santa Cruz (AC 6-16-1851(?),Spontaneous Assembly,,Open,,Not Lethal,,,
56,,1851,1851/06,1851/06/20,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California.,Formal VC,,Secret,,Not Lethal,,,Did this happen?
57,,1851,1851/06,1851/06/21,,California,Park's Bar,Yuba,39.2210038,-121.3313492,,,,,,,,,,,,Not Lethal,,,
58,,1851,1851/06,1851/06/23,,California,San Francisco,San Francisco,37.794835,-122.404642,,,,,,,Coordinates placed at Merchant street towards bay from Portsmouth Square,Formal VC,,open,,Not Lethal,,,
59,,1851,1851/06,1851/06/24,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California,Formal VC,,Open,,Not Lethal,,,
60,,1851,1851/06,1851/06/25,,California,Sacramento,Sacramento,38.5806777,-121.4992404,,,,,,,Using coordinates corner of sixth and K streets (Plaza),Formal VC,,Open,,Not Lethal,,,
61,,1851,1851/06,1851/06/25,,California,Tolle's Dry Diggings,Butte,39.3141,-121.1651,,,,,,,"aka Toll's Dry Diggings or Forbestown, on the Feather River; mention of sendinghim to Hamilton for trial. Gudde, CGC, 351-352 places Toll's Dry Diggings in Yuba Co, 6 miles SW of Fosters Bar",Jury of twelve impartial men,,Open,No officers present,Not Lethal,,,
62,,1851,1851/06,1851/06/26,,California,San Francisco,San Francisco,37.7959104,-122.4005136,,,,,,,Coordinates for intersection of  Washington and Battery,Spontaneous mob,a number of persons,Open,No officers present,Lethal,,,
63,,1851,1851/06,1851/06/27,,California,Pleasant Springs,Calaveras,38.3338088,-120.6206289,38,19,50,120,37,30,"aka Rich Gulch per Durham; using coordinates for Rich Gulch, Calaveras Co.",Spontaneous mob,,Open,,Not Lethal,,,
64,,1851,1851/06,1851/06/29,,California,Sonora,Tuolumne,37.983516,-120.381581,,,,,,,"Seized from sheriff in Sonora and hanged behind the El Dorado Hotel, later City Hotel; Coords estimated behind current location of City Hotel",Meeting of the People,a large crowd,Open,Suspect taken from jail; returned to authorities; retaken from jail after conviction,Lethal,,G-D 25,
65,,1851,1851/06,1851/06/27,,California,Santa Clara,Santa Clara,37.3499414,-121.9441241,,,,,,,What are best coordinates? Using coordinates for Sta Clara Mission,tried by the people,,Open,1 (elderly father) turned over to authorities,Not Lethal,,,
66,Last report is that miners waiting to see if Nelson died of slef inflicted wound before sentenceing; no ore information,1851,1851/07,1851/07/03,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,jury of 12 intelligent miners,Citizens at large,Open,Officer abetted proceedings,Not Lethal,,,
67,,1851,1851/07,1851/07/05,,California,Downieville,Sierra,39.5602894,-120.8280559,,,,,,,,Lynch Court,"2,500",Open,none present,Lethal,C-W10,,
68,,1851,1851/07,1851/07/09,,California,Sacramento,Sacramento,38.5806777,-121.4992404,,,,,,,Using coordinates corner of sixth and K streets (Plaza),Committee 11 to investigate appointed; 6 selected to guard prisoners,over a thousand people,Open,Officers opposed proceedings; received suspects from crowd,Not Lethal,,,
69,,1851,1851/07,1851/07/11,,California,San Francisco,San Francisco,37.795058,-122.394185,,,,,,,Hanging took place on Market Street Wharf. Estimated at end of Market Street,Vigilance Committee,"2,000-3,000",open,Officers acquiesced to proceedings,Lethal,,,
70,,1851,1851/07,1851/07/05,,California,Sonora,Tuolumne,37.9840911,-120.3821381,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,4
71,In same reports aas Case 019,1851,1851/07,1851/07/8,,California,Benecia,Solano,38.0258,-122.0931,,,,,,,,,,Open,,Not Lethal,,,3
73,,1851,1851/07,1851/07/00,,California,Canon Creek,Trinity,40.4355,-123.0325,,,,,,,?,Victim and Friends,,Open,,Not Lethal,,,3
75,,1854,1854/08,1854/08/25,,California,Drytown,Amador,38.4410213,-120.8543816,,,,,,,,,,Open,,Lethal,C-W 47,,HHB report implies 1851; actual date 1854/08/25
76,,1851,1851/08,1851/08/01,,California,Johnson's Rancho,Yuba,39.0298944,-121.4302363,,,,,,,Six miles above johnson's Rancho; Using coordinates for Wheatland,Jury of Citizens,,Open,,Not Lethal,,,4
78,,1851,1851/08,1851/08/05,,California,Ophir,Placer,38.5328,-121.0725,,,,,,,,"""Crowd,"" ""Committee of the Whole""; trial lasted all day",,Open,,Not Lethal,,,3
79,,1851,1851/08,1851/08/06,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California,Formal VC,small attendance,Secret,,Not Lethal,,,CHECK LOCATION
80,,1851,1851/08,1851/08/07,,California,Rose's/Brophy's Ranch,Yuba,39.22083333,-121.4069444,39,13,15,121,24,25,"Using coordinates for Dry Creek, aka Ousley's bar, on which rose's Ranch was located. See Histoory of Yuba County and Durham, p478",Mob,,Open,,Not Lethal,,,
81,,1851,1851/08,1851/08/10,,California,Monterey,Monterey,36.6012792,-121.88294420,,,,,,,,Party of Masked men,5-7,Secret,"Marshall Clapp gagged, blindfolded, and tied up. Coroner's jury verdict ""killed by a person or persons unknown.""",Lethal,,G-D-26?,4
82,,1851,1851/08,1851/08/10,,California,Onion Valley,Plumas,39.4745,-120.5255,,,,,,,"described as the ""rancho""",,,Open,,Not Lethal,,,4
83,"Escaped from tuolumne Co. Jail; captured and remanded to authorities, from Stockton paper; probably not Yuba Co.",1851,1851/08,1851/08/11,,California,On board the Jenny Lind,San Francisco,,,,,,,,,Report from AC; seems likely at dock in SF,Vigilance Committee,,Open,Turned over to the authorities; suspect an escapee from Tuolomne County jail; $500 reward for his capture,Not Lethal,,,CHECK LOCATION
84,,1851,1851/08,1851/08/13,,California,Greenwood Valley,El Dorado,38.89722222,-120.9125,38,53,50,120,54,45,"Gudde, CGC 145",Jury empaneled,,Open,,Lethal,,,4
85,Could have been a shooting… double check,1851,1851/08,1851/08/14,,California,Mississippi Bar,Sacramento,38.650182,-121.2030033,,,,,,,,Party raised to hunt threatening Indians,,Open,,Both,,,"1 Lynching or Indian ""hunt"""
86,,1851,1851/08,1851/08/00,,California,Red Mountain Bar,Tuolumne,37.8,-120.4097222,37,48,,120,24,35,Durham p819,,,,,Not Lethal,,,
87,,1851,1851/08,1851/08/22,,California,Sacramento,Sacramento,38.5806777,-121.4992404,,,,,,,Using coordinates corner of sixth and K streets (Plaza),meeting organized and jury impaneled; declared posse comitatus ready to act,1000 men,Open,"Three men convicted of assault and robbery; sentenced to hang. Heppard/Robinson (real name Heppard) 

Sheriff and officers ""retired from the scene"" when crowd rushed the station house to seize Robinson following the (legal) execution of his two confederates

Suspect had been convicted; granted reprieve by Governor McDougal",Lethal,,G-D-27,4
88,,1851,1851/08,1851/08/22,,California,Park's Bar,Yuba,39.2210038,-121.3313492,,,,,,,"SDU places at Barton's Bar on Yuba; AC places at Native American Bar; estimating coordinates midway between Park's Bar and Rose Bar on Yuba, per Gudde, CGC, 28, on location of Park's Bar",citizens organized a court,,open,,Not Lethal,,,
89,,1851,1851/08,1851/08/24,,California,Santa Clara,Santa Clara,37.3499414,-121.9441241,,,,,,,Using coordinates for Sta Clara Mission; check coordinates,suspects arrested by the people,,open,,Not Lethal,,,3
90,Hanging of Whittaker and MacKenzie,1851,1851/08,1851/08/24,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California,Vigilance Committee,"10,000",open,"Whittaker and McKenzie seized (""rescued"") from the jail by 36 members of the vigilance committee",Lethal,,G-D-28,4
91,,1851,1851/08,1851/08/25,,California,Sonora,Tuolumne,37.9840911,-120.3821381,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,3
92,,1851,1851/09,1851/09/13,,California,San Jose,Santa Clara,37.3107158,-121.9206516,,,,,,,Using coordinates for San Jose West,,,Open,,Not Lethal,,,3
93,,1851,1851/09,1851/09/15,,California,Sonora,Tuolumne,37.9840911,-120.3821381,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,3
94,,1851,1851/09,1851/09/15,,California,Sonora,Tuolumne,37.9840911,-120.3821381,,,,,,,,Vigilance Committee,,Open,,Not Lethal,,,3
95,,1851,1851/09,1851/09/18,,California,Shasta,Shasta,40.6000725,-122.4924721,,,,,,,"Using coordinates for City of Shasta Lake, but check against Redding Springs; Shasta from HHB; SDU just says ""Upper Sacramento""",Vigilance Committee,,Open,,Not Lethal,,,CHECK LOCATION
96,,1851,1851/09,1851/09/00,,California,Granite Basin,Plumas,39.4953,-121.1658,,,,,,,,Crowd,20,Open,,Not Lethal,,,1
97,,1851,1851/10,1851/10/04,,California,Sweetlands,Nevada,39.2035,-121.0713,,,,,,,Near Nevada City,The miners,,Open,,Not Lethal,,,3
98,,1851,1851/10,1851/10/12,,California,Mokelumne Hill,Tuolumne,38.3004709,-120.7063219,,,,,,,,large crowd,,Open,,Not Lethal,,,3
99,,1851,1851/10,1851/10/14,,California,Shingle Creek,El Dorado,38.4803,-120.5446,,,,,,,also latitude 383715N longitude 1205554W (stream),Arrested; taken before Esq. Duden and sentenced to receive 20 lashes,,Open,,Not Lethal,,,1. Lynching or regular court?
100,,1851,1851/10,1851/10/21,,California,San Diego,San Diego,32.7092182,-117.1711445,,,,,,,Using GNIS Seaport Village(?). Takenb to Dr. Painter's Office,"""ab body of men styling themselves the Vigilance Committee""",,Open,Seized from officers enroute to Old Town,Not Lethal,,,3
101,,1851,1851/10,1851/10/21,,California,"Steamer, Marysville to San Francisco",,38.8941574,-121.5968273,,,,,,,Steamer en route to SF from Marysville--location estimated about half way between Marysville and Sacramento on Sacramento River,Court of the people,,Open,,Not Lethal,,,estimated coordinates
102,,1851,1851/10,1851/10/29,,California,Rich Bar,Plumas,40.0109982,-121.1930184,,,,,,,,large crowd organized as court,,,,Not Lethal,,,2
103,,1851,1851/10,1851/10/00,,California,Tim's Garden,Tuolumne,38.0207567,-120.4124173,,,,,,,"Tim's Garden one mile from Columbia; coordinates are for Springfield, later name for same location",Vigilance Committee,,Open,,Not Lethal,,,1
104,,1851,1851/00,1851/00/00,,Nevada,Weaverville,Trinity,40.6860908,-122.9358438,,,,,,,,,,Open,,Not Lethal,,,1
106,Apparently not in HHB. From AC report include or drop from DB?,1851,1851/11,1851/11/00,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California,Vigilance Committee,,Open,,Not Lethal,,,3
107,,1851,1851/11,1851/11/06,,California,Stockton,San Joaquin,37.8691989,-121.4440209,,,,,,,"""hanging took place ""not far from Stockton."" Estimated location outside of Stockton about half way to Mountain House, where alleged crime took place",Carried off at midnight,,Secret,,Lethal,,,3
108,,1851,1851/11,1851/11/09,,California,Mud Springs,El Dorado,38.682552,-120.848518,,,,,,,"Mud Springs original name of El Dorado, El Dorado County. See http://www.sierranevadageotourism.org/content/el-dorado-originally-mud-springs-no-486-california-historic-landmark/sie8962F6E24D988A588",Jury of the people,,Open,,Lethal,,G-D- 29 has date as 11/8/51,4
109,Victim Malcolm McLane; suspect Antonio Gonzalez,1851,1851/11,1851/11/11,,California,San Francisco,San Francisco,37.7935535,-122.40002,,,,,,,Committee Rooms Location set  near intersection of Battery and California,Vigilance Committee,one or two members,open,,Not Lethal,,,4
110,Domingo hanged; others sought,1851,1851/11,1851/11/15,,California,Turnersville,Calaveras,38.22714,-120.8532709,38,13,40,120,51,10,Later known as Campo Seco; coordinates from latter,Citizens turned out in a body,,Open,,Lethal,C-W 11,G-D 31,
112,Date is approximate (date of Shirley letter). Check against newspapers.,1851,1851/12,1851/12/15,,California,Rich Bar,Plumas,40.0109982,-121.1930184,,,,,,,Forks of Feather River. Hanged outside of Rich Bar Graveyard,Court of the People; Jury of 12 and judge elected,,Open,,Lethal,,G-D- 32,4
113,,1851,1851/12,1851/12/24,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,,Court of the people,large crowd of persons,open,,Not Lethal,,G-D- 30? Has date as 11/12,4
114,Check; Yuba River not in Calaveras County,1852,1852/02,1852/02/13,,California,Mokelumne Hill,Calaveras,38.3004709,-120.7063219,,,,,,,"Report from Calaveras Chronicle, published in Mokelumne Hill. From context, therefore, incident appears to have taken place in Mokelumne Hill.",Vigilance Committee,,Open,,Not Lethal,,,3
115,,1852,1852/02,1852/02/07,,California,Stockton,San Joaquin,37.9595012,-121.2927574,,,,,,,using coordinates for intersection of Center and Park Street,Proprietor and some others (HHB),,,,Lethal,,,3
